M,N,perFactorN,K,c,rho,extraction,R,rec90,rec90_lo,rec90_hi,meanMinPhi
40,24,8,3,0.4,0.4,centroid,400,0.193,0.157,0.234,0.821
40,24,8,3,0.6,0,pca,400,1.000,0.990,1.000,0.946
40,24,8,3,0.6,0,centroid,400,0.953,0.927,0.969,0.900
40,24,8,3,0.6,0.4,pca,400,1.000,0.990,1.000,0.946
40,24,8,3,0.6,0.4,centroid,400,0.950,0.924,0.967,0.900
40,24,8,3,0.8,0,pca,400,1.000,0.990,1.000,0.978
40,24,8,3,0.8,0,centroid,400,0.955,0.930,0.971,0.934
40,24,8,3,0.8,0.4,pca,400,1.000,0.990,1.000,0.978
40,24,8,3,0.8,0.4,centroid,400,0.915,0.884,0.939,0.894
40,36,12,3,0.4,0,pca,400,0.910,0.878,0.934,0.919
40,36,12,3,0.4,0,centroid,400,0.902,0.869,0.928,0.917
40,36,12,3,0.4,0.4,pca,400,0.892,0.858,0.919,0.917
40,36,12,3,0.4,0.4,centroid,400,0.853,0.814,0.884,0.895
40,36,12,3,0.6,0,pca,400,1.000,0.990,1.000,0.963
40,36,12,3,0.6,0,centroid,400,0.993,0.978,0.997,0.955
40,36,12,3,0.6,0.4,pca,400,1.000,0.990,1.000,0.962
40,36,12,3,0.6,0.4,centroid,400,0.988,0.971,0.995,0.949
40,36,12,3,0.8,0,pca,400,1.000,0.990,1.000,0.986
40,36,12,3,0.8,0,centroid,400,0.985,0.968,0.993,0.971
40,36,12,3,0.8,0.4,pca,400,1.000,0.990,1.000,0.984
40,36,12,3,0.8,0.4,centroid,400,0.965,0.942,0.979,0.949
