M,N,perFactorN,K,c,rho,mode,nonLoaderFrac,retention,R,rec85,rec90,rec95,rec90_lo,rec90_hi,meanEstK
40,23,6,3,0.8,0,forced,0.2,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
40,23,6,3,0.8,0,forced,0.2,pa,500,1.000,1.000,0.998,0.992,1.000,3.00
40,23,6,3,0.8,0.4,forced,0.2,oracle,500,0.990,0.990,0.988,0.977,0.996,3.00
40,23,6,3,0.8,0.4,forced,0.2,pa,500,0.870,0.870,0.868,0.838,0.897,2.86
40,23,6,3,0.4,0,free,0.2,oracle,500,0.258,0.002,0.000,0.000,0.011,3.00
40,23,6,3,0.4,0,free,0.2,pa,500,0.230,0.000,0.000,0.000,0.008,2.94
40,23,6,3,0.4,0.4,free,0.2,oracle,500,0.194,0.000,0.000,0.000,0.008,3.00
40,23,6,3,0.4,0.4,free,0.2,pa,500,0.112,0.000,0.000,0.000,0.008,2.24
40,23,6,3,0.6,0,free,0.2,oracle,500,0.998,0.906,0.000,0.877,0.929,3.00
40,23,6,3,0.6,0,free,0.2,pa,500,0.994,0.896,0.006,0.866,0.920,3.00
40,23,6,3,0.6,0.4,free,0.2,oracle,500,0.938,0.830,0.002,0.795,0.860,3.00
40,23,6,3,0.6,0.4,free,0.2,pa,500,0.666,0.598,0.000,0.554,0.640,2.65
40,23,6,3,0.8,0,free,0.2,oracle,500,1.000,1.000,0.974,0.992,1.000,3.00
40,23,6,3,0.8,0,free,0.2,pa,500,0.996,0.996,0.966,0.986,0.999,3.00
40,23,6,3,0.8,0.4,free,0.2,oracle,500,0.982,0.980,0.948,0.964,0.989,3.00
40,23,6,3,0.8,0.4,free,0.2,pa,500,0.850,0.850,0.828,0.816,0.879,2.84
40,24,8,3,0.4,0,forced,0,oracle,500,0.932,0.234,0.000,0.199,0.273,3.00
40,24,8,3,0.4,0,forced,0,pa,500,0.922,0.236,0.000,0.201,0.275,2.98
40,24,8,3,0.4,0.4,forced,0,oracle,500,0.920,0.238,0.000,0.203,0.277,3.00
40,24,8,3,0.4,0.4,forced,0,pa,500,0.508,0.128,0.000,0.102,0.160,2.46
40,24,8,3,0.6,0,forced,0,oracle,500,1.000,1.000,0.358,0.992,1.000,3.00
40,24,8,3,0.6,0,forced,0,pa,500,0.998,0.998,0.320,0.989,1.000,3.00
40,24,8,3,0.6,0.4,forced,0,oracle,500,1.000,1.000,0.358,0.992,1.000,3.00
40,24,8,3,0.6,0.4,forced,0,pa,500,0.854,0.854,0.316,0.820,0.882,2.85
40,24,8,3,0.8,0,forced,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
40,24,8,3,0.8,0,forced,0,pa,500,1.000,1.000,1.000,0.992,1.000,3.00
40,24,8,3,0.8,0.4,forced,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
40,24,8,3,0.8,0.4,forced,0,pa,500,0.956,0.956,0.956,0.934,0.971,2.95
40,24,8,3,0.4,0,free,0,oracle,500,0.860,0.124,0.000,0.098,0.156,3.00
40,24,8,3,0.4,0,free,0,pa,500,0.840,0.126,0.000,0.100,0.158,2.96
40,24,8,3,0.4,0.4,free,0,oracle,500,0.826,0.126,0.000,0.100,0.158,3.00
40,24,8,3,0.4,0.4,free,0,pa,500,0.500,0.074,0.000,0.054,0.100,2.53
40,24,8,3,0.6,0,free,0,oracle,500,1.000,1.000,0.148,0.992,1.000,3.00
40,24,8,3,0.6,0,free,0,pa,500,0.994,0.994,0.148,0.983,0.998,2.99
40,24,8,3,0.6,0.4,free,0,oracle,500,1.000,1.000,0.174,0.992,1.000,3.00
40,24,8,3,0.6,0.4,free,0,pa,500,0.804,0.804,0.128,0.767,0.836,2.80
40,24,8,3,0.8,0,free,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
40,24,8,3,0.8,0,free,0,pa,500,1.000,1.000,1.000,0.992,1.000,3.00
40,24,8,3,0.8,0.4,free,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
40,24,8,3,0.8,0.4,free,0,pa,500,0.936,0.936,0.936,0.911,0.954,2.94
40,30,8,3,0.4,0,forced,0.2,oracle,500,0.868,0.142,0.000,0.114,0.175,3.00
40,30,8,3,0.4,0,forced,0.2,pa,500,0.804,0.126,0.000,0.100,0.158,3.01
40,30,8,3,0.4,0.4,forced,0.2,oracle,500,0.668,0.116,0.000,0.091,0.147,3.00
40,30,8,3,0.4,0.4,forced,0.2,pa,500,0.462,0.064,0.000,0.046,0.089,2.59
40,30,8,3,0.6,0,forced,0.2,oracle,500,1.000,1.000,0.266,0.992,1.000,3.00
40,30,8,3,0.6,0,forced,0.2,pa,500,1.000,1.000,0.332,0.992,1.000,3.00
40,30,8,3,0.6,0.4,forced,0.2,oracle,500,0.992,0.988,0.242,0.974,0.994,3.00
40,30,8,3,0.6,0.4,forced,0.2,pa,500,0.816,0.812,0.228,0.775,0.844,2.81
40,30,8,3,0.8,0,forced,0.2,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
40,30,8,3,0.8,0,forced,0.2,pa,500,1.000,1.000,1.000,0.992,1.000,3.00
40,30,8,3,0.8,0.4,forced,0.2,oracle,500,0.998,0.998,0.996,0.989,1.000,3.00
40,30,8,3,0.8,0.4,forced,0.2,pa,500,0.936,0.936,0.936,0.911,0.954,2.94
40,30,8,3,0.4,0,free,0.2,oracle,500,0.750,0.078,0.000,0.058,0.105,3.00
40,30,8,3,0.4,0,free,0.2,pa,500,0.746,0.056,0.000,0.039,0.080,3.02
40,30,8,3,0.4,0.4,free,0.2,oracle,500,0.648,0.068,0.000,0.049,0.094,3.00
40,30,8,3,0.4,0.4,free,0.2,pa,500,0.376,0.032,0.000,0.020,0.051,2.52
40,30,8,3,0.6,0,free,0.2,oracle,500,1.000,0.998,0.120,0.989,1.000,3.00
40,30,8,3,0.6,0,free,0.2,pa,500,0.998,0.994,0.122,0.983,0.998,3.00
40,30,8,3,0.6,0.4,free,0.2,oracle,500,0.978,0.974,0.098,0.956,0.985,3.00
40,30,8,3,0.6,0.4,free,0.2,pa,500,0.762,0.760,0.104,0.721,0.795,2.75
40,30,8,3,0.8,0,free,0.2,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
40,30,8,3,0.8,0,free,0.2,pa,500,1.000,1.000,1.000,0.992,1.000,3.00
40,30,8,3,0.8,0.4,free,0.2,oracle,500,1.000,1.000,0.996,0.992,1.000,3.00
40,30,8,3,0.8,0.4,free,0.2,pa,500,0.930,0.930,0.928,0.904,0.949,2.93
40,36,12,3,0.4,0,forced,0,oracle,500,0.998,0.916,0.000,0.888,0.937,3.00
40,36,12,3,0.4,0,forced,0,pa,500,0.992,0.886,0.002,0.855,0.911,2.99
40,36,12,3,0.4,0.4,forced,0,oracle,500,0.996,0.872,0.000,0.840,0.898,3.00
40,36,12,3,0.4,0.4,forced,0,pa,500,0.774,0.712,0.000,0.671,0.750,2.81
40,36,12,3,0.6,0,forced,0,oracle,500,1.000,1.000,0.966,0.992,1.000,3.00
40,36,12,3,0.6,0,forced,0,pa,500,1.000,1.000,0.970,0.992,1.000,3.00
40,36,12,3,0.6,0.4,forced,0,oracle,500,1.000,1.000,0.946,0.992,1.000,3.00
40,36,12,3,0.6,0.4,forced,0,pa,500,0.946,0.946,0.898,0.923,0.963,2.95
40,36,12,3,0.8,0,forced,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
40,36,12,3,0.8,0,forced,0,pa,500,1.000,1.000,1.000,0.992,1.000,3.00
40,36,12,3,0.8,0.4,forced,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
40,36,12,3,0.8,0.4,forced,0,pa,500,0.984,0.984,0.984,0.969,0.992,2.98
40,36,12,3,0.4,0,free,0,oracle,500,0.998,0.778,0.000,0.740,0.812,3.00
40,36,12,3,0.4,0,free,0,pa,500,0.996,0.772,0.000,0.733,0.807,3.03
40,36,12,3,0.4,0.4,free,0,oracle,500,1.000,0.758,0.000,0.719,0.793,3.00
40,36,12,3,0.4,0.4,free,0,pa,500,0.802,0.660,0.000,0.617,0.700,2.86
40,36,12,3,0.6,0,free,0,oracle,500,1.000,1.000,0.864,0.992,1.000,3.00
40,36,12,3,0.6,0,free,0,pa,500,1.000,1.000,0.918,0.992,1.000,3.00
40,36,12,3,0.6,0.4,free,0,oracle,500,1.000,1.000,0.874,0.992,1.000,3.00
40,36,12,3,0.6,0.4,free,0,pa,500,0.962,0.962,0.804,0.941,0.976,2.96
40,36,12,3,0.8,0,free,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
40,36,12,3,0.8,0,free,0,pa,500,1.000,1.000,1.000,0.992,1.000,3.00
40,36,12,3,0.8,0.4,free,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
40,36,12,3,0.8,0.4,free,0,pa,500,0.992,0.992,0.992,0.980,0.997,2.99
40,45,12,3,0.4,0,forced,0.2,oracle,500,1.000,0.824,0.002,0.788,0.855,3.00
40,45,12,3,0.4,0,forced,0.2,pa,500,0.984,0.824,0.000,0.788,0.855,3.04
40,45,12,3,0.4,0.4,forced,0.2,oracle,500,0.942,0.688,0.000,0.646,0.727,3.00
40,45,12,3,0.4,0.4,forced,0.2,pa,500,0.784,0.632,0.002,0.589,0.673,3.01
40,45,12,3,0.6,0,forced,0.2,oracle,500,1.000,1.000,0.944,0.992,1.000,3.00
40,45,12,3,0.6,0,forced,0.2,pa,500,1.000,1.000,0.964,0.992,1.000,3.00
40,45,12,3,0.6,0.4,forced,0.2,oracle,500,0.998,0.996,0.922,0.986,0.999,3.00
40,45,12,3,0.6,0.4,forced,0.2,pa,500,0.944,0.944,0.880,0.920,0.961,2.95
40,45,12,3,0.8,0,forced,0.2,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
40,45,12,3,0.8,0,forced,0.2,pa,500,1.000,1.000,1.000,0.992,1.000,3.00
40,45,12,3,0.8,0.4,forced,0.2,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
40,45,12,3,0.8,0.4,forced,0.2,pa,500,0.994,0.994,0.994,0.983,0.998,2.99
40,45,12,3,0.4,0,free,0.2,oracle,500,1.000,0.728,0.000,0.687,0.765,3.00
40,45,12,3,0.4,0,free,0.2,pa,500,0.978,0.708,0.002,0.667,0.746,3.06
40,45,12,3,0.4,0.4,free,0.2,oracle,500,0.904,0.592,0.000,0.548,0.634,3.00
40,45,12,3,0.4,0.4,free,0.2,pa,500,0.698,0.494,0.000,0.450,0.538,3.00
40,45,12,3,0.6,0,free,0.2,oracle,500,1.000,1.000,0.834,0.992,1.000,3.00
40,45,12,3,0.6,0,free,0.2,pa,500,1.000,1.000,0.858,0.992,1.000,3.00
40,45,12,3,0.6,0.4,free,0.2,oracle,500,1.000,1.000,0.822,0.992,1.000,3.00
40,45,12,3,0.6,0.4,free,0.2,pa,500,0.930,0.930,0.752,0.904,0.949,2.93
40,45,12,3,0.8,0,free,0.2,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
40,45,12,3,0.8,0,free,0.2,pa,500,1.000,1.000,1.000,0.992,1.000,3.00
40,45,12,3,0.8,0.4,free,0.2,oracle,500,1.000,0.998,0.998,0.989,1.000,3.00
40,45,12,3,0.8,0.4,free,0.2,pa,500,0.984,0.984,0.984,0.969,0.992,2.98
